,issue_date,loan_amnt,loan_status,term,int_rate,installment,sub_grade,verification_status,addr_state,total_paymnt
276,5-15,14000.0,1,1,0.32,421.61,1,0,South,2947.13
272,5-15,12000.0,1,0,22.99,338.22,27,1,West,2690.43
260,5-15,4000.0,1,1,0.53,440.92,10,1,MidWest,1050.64
257,5-15,23700.0,1,0,17.86,600.03,20,1,West,4776.72
248,5-15,10000.0,1,1,14.65,344.95,15,1,MidWest,2743.32
239,5-15,35000.0,1,1,19.52,1292.19,23,1,0,9007.37
236,5-15,11500.0,1,1,0.18,361.33,6,0,East,2524.08
324,5-15,20400.0,1,1,0.68,626.92,5,1,South,5007.79
234,5-15,8000.0,1,1,13.99,273.39,14,1,South,1907.51
181,5-15,3000.0,1,1,13.33,101.56,13,0,West,810.26
153,5-15,8000.0,1,1,0.69,268.36,12,1,West,2141.24
146,5-15,14400.0,1,1,0.99,471.37,9,1,MidWest,3753.38
144,5-15,35000.0,1,0,16.55,861.4,17,1,MidWest,6859.02
93,5-15,23000.0,1,0,18.25,587.19,21,1,East,4650.88
77,5-15,12000.0,1,1,0.99,392.81,10,0,West,3135.15
50,5-15,30000.0,1,0,23.99,440.92,27,1,South,6862.98
48,5-15,7500.0,0,1,0.17,239.1,7,0,MidWest,1908.98
38,5-15,6000.0,1,1,0.69,201.27,12,1,South,1431.89
216,5-15,14000.0,1,0,17.86,354.45,20,1,East,2807.82
331,5-15,5000.0,1,1,0.24,152.66,2,0,South,5078.3
403,5-15,14000.0,1,1,0.99,458.28,9,0,West,3657.69
414,5-15,4275.0,1,1,18.25,155.09,21,1,MidWest,1074.79
603,5-15,10650.0,1,1,16.55,377.33,17,0,South,2631.52
600,5-15,14000.0,1,0,0.32,421.61,1,1,South,2942.99
595,5-15,17200.0,1,0,21.99,474.95,26,1,West,3272.12
587,5-15,18000.0,1,0,0.29,403.05,11,1,South,3212.11
584,5-15,7000.0,1,1,0.89,219.0,5,0,South,1526.86
565,5-15,33700.0,1,0,17.57,847.9,19,1,South,0
556,5-15,12500.0,1,1,0.93,379.88,1,0,MidWest,3034.92
527,5-15,35000.0,1,0,24.99,1027.1,29,1,MidWest,38462.05
512,5-15,20325.0,1,1,7.524344210526315,724.55,18,1,East,21132.14
507,5-15,6000.0,0,1,0.99,193.58,8,0,East,1545.31
506,5-15,10000.0,1,0,18.84,258.53,22,1,West,2131.03
495,5-15,24500.0,1,0,0.99,801.99,9,1,South,6513.14
492,5-15,10000.0,1,1,13.99,341.73,14,1,West,5718.3
489,5-15,6000.0,1,1,0.53,197.95,10,0,East,1579.76
481,5-15,25000.0,1,0,18.25,638.25,21,1,South,4543.78
479,5-15,7050.0,1,1,17.57,253.36,19,0,South,2013.12
463,5-15,24000.0,1,0,18.25,612.72,21,1,South,4743.59
449,5-15,22200.0,1,1,15.61,776.22,16,1,0,6190.51
444,5-15,16000.0,0,1,0.39,489.59,2,0,West,3421.45
423,5-15,35000.0,1,1,0.18,1099.69,6,1,South,8781.61
419,5-15,12500.0,1,1,7.524344210526315,385.51,4,1,South,12912.59
619,5-15,18000.0,1,1,0.99,589.22,9,0,West,4702.77
1363,5-15,6000.0,1,1,13.33,203.12,13,1,South,1616.07
1376,5-15,25000.0,1,0,0.99,543.44,9,0,MidWest,4332.26
1399,5-15,10000.0,1,1,0.69,335.45,12,1,East,2334.05
2321,5-15,12800.0,1,0,18.25,326.78,21,1,South,2601.26
2315,5-15,20000.0,1,1,0.99,645.25,8,1,West,5150.9
2284,5-15,25000.0,1,1,0.24,763.28,2,1,South,6097.57
2280,5-15,8000.0,1,1,0.29,266.83,11,0,West,2129.18
2256,5-15,6500.0,1,1,0.99,209.71,8,1,South,6853.57
2246,5-15,16800.0,1,0,13.33,385.1,13,1,East,3068.36
2245,5-15,15000.0,0,1,0.89,469.29,5,0,West,1394.72
2236,5-15,8500.0,1,1,0.69,285.14,12,1,0,1989.99
2222,5-15,9175.0,1,1,18.55,334.24,22,0,MidWest,2320.77
